# k[h/Mpc]   P(k)[(Mpc/h)^3]
0.00746824   24369.1
0.00748546   24390
0.00750272   24410.8
0.00752002   24431.6
0.00753736   24452.3
0.00755474   24473
0.00757216   24493.6
0.00758962   24514.2
0.00760712   24534.7
0.00762466   24555.2
0.00764224   24575.6
0.00765986   24596
0.00767753   24616.3
0.00769523   24636.6
0.00771297   24656.8
0.00773076   24677
0.00774858   24697.2
0.00776645   24717.2
0.00778436   24737.3
0.00780231   24757.2
0.0078203   24777.2
0.00783833   24797.1
0.0078564   24816.9
0.00787452   24836.6
0.00789268   24856.4
0.00791088   24876
0.00792912   24895.7
0.0079474   24915.2
0.00796572   24934.7
0.00798409   24954.2
0.0080025   24973.6
0.00802095   24992.9
0.00803945   25012.2
0.00805799   25031.5
0.00807657   25050.6
0.00809519   25069.8
0.00811386   25088.9
0.00813257   25107.9
0.00815132   25126.8
0.00817011   25145.7
0.00818895   25164.6
0.00820783   25183.4
0.00822676   25202.1
0.00824573   25220.8
0.00826474   25239.5
0.0082838   25258
0.0083029   25276.5
0.00832204   25295
0.00834123   25313.4
0.00836047   25331.7
0.00837975   25350
0.00839907   25368.2
0.00841843   25386.4
0.00843785   25404.5
0.0084573   25422.5
0.0084768   25440.5
0.00849635   25458.5
0.00851594   25476.3
0.00853558   25494.1
0.00855526   25511.9
0.00857498   25529.6
0.00859476   25547.2
0.00861457   25564.8
0.00863444   25582.3
0.00865435   25599.7
0.0086743   25617.1
0.0086943   25634.4
0.00871435   25651.7
0.00873444   25668.9
0.00875458   25686
0.00877477   25703.1
0.008795   25720.1
0.00881528   25737
0.00883561   25753.9
0.00885598   25770.7
0.0088764   25787.5
0.00889687   25804.2
0.00891739   25820.8
0.00893795   25837.3
0.00895856   25853.8
0.00897921   25870.3
0.00899992   25886.6
0.00902067   25902.9
0.00904147   25919.2
0.00906232   25935.3
0.00908321   25951.4
0.00910416   25967.5
0.00912515   25983.5
0.00914619   25999.4
0.00916728   26015.2
0.00918842   26031
0.00920961   26046.7
0.00923084   26062.3
0.00925213   26077.9
0.00927346   26093.4
0.00929484   26108.8
0.00931628   26124.2
0.00933776   26139.4
0.00935929   26154.7
0.00938087   26169.8
0.0094025   26184.9
0.00942418   26199.9
0.00944591   26214.9
0.00946769   26229.8
0.00948952   26244.6
0.0095114   26259.3
0.00953333   26274
0.00955532   26288.6
0.00957735   26303.1
0.00959943   26317.5
0.00962157   26331.9
0.00964375   26346.2
0.00966599   26360.5
0.00968828   26374.6
0.00971062   26388.7
0.00973301   26402.7
0.00975545   26416.7
0.00977794   26430.6
0.00980049   26444.4
0.00982309   26458.1
0.00984574   26471.7
0.00986844   26485.3
0.0098912   26498.8
0.009914   26512.3
0.00993686   26525.6
0.00995978   26538.9
0.00998274   26552.1
0.0100058   26565.2
0.0100288   26578.3
0.010052   26591.3
0.0100751   26604.2
0.0100984   26617
0.0101216   26629.8
0.010145   26642.5
0.0101684   26655.1
0.0101918   26667.6
0.0102153   26680
0.0102389   26692.4
0.0102625   26704.7
0.0102862   26716.9
0.0103099   26729.1
0.0103336   26741.1
0.0103575   26753.1
0.0103814   26765
0.0104053   26776.8
0.0104293   26788.6
0.0104533   26800.3
