# r[Mpc/h]   xi(r)
192.673   -0.104657
192.922   -0.104465
193.171   -0.104278
193.42   -0.104086
193.67   -0.103896
193.919   -0.103708
194.168   -0.103513
194.417   -0.103326
194.667   -0.103132
194.916   -0.10294
195.165   -0.102751
195.414   -0.102554
195.664   -0.102366
195.913   -0.102171
196.162   -0.101977
196.411   -0.101788
196.661   -0.101589
196.91   -0.1014
197.159   -0.101205
197.408   -0.101008
197.658   -0.10082
197.907   -0.100619
198.156   -0.100429
198.405   -0.100233
198.655   -0.100035
198.904   -0.0998469
199.153   -0.0996444
199.402   -0.0994542
199.652   -0.0992586
199.901   -0.0990582
200.15   -0.0988711
200.399   -0.0986669
200.649   -0.0984762
200.898   -0.0982814
201.147   -0.0980785
201.396   -0.0978931
201.646   -0.0976875
201.895   -0.097496
202.144   -0.0973029
202.393   -0.0970971
202.643   -0.0969138
202.892   -0.0967071
203.141   -0.0965143
203.39   -0.096324
203.64   -0.0961145
203.889   -0.0959339
204.138   -0.0957266
204.387   -0.0955317
204.637   -0.0953454
204.886   -0.0951316
205.135   -0.0949538
205.384   -0.0947468
205.634   -0.0945486
205.883   -0.094368
206.132   -0.0941489
206.381   -0.0939741
206.631   -0.0937688
206.88   -0.0935654
207.129   -0.0933926
207.378   -0.0931676
207.628   -0.0929952
207.877   -0.092794
208.126   -0.0925826
208.375   -0.0924201
208.625   -0.0921887
208.874   -0.0920171
209.123   -0.0918236
209.372   -0.0916004
209.622   -0.0914508
209.871   -0.0912134
210.12   -0.0910391
210.369   -0.090859
210.619   -0.090619
210.868   -0.0904843
211.117   -0.0902436
211.366   -0.0900603
211.616   -0.0899014
211.865   -0.0896391
212.114   -0.0895198
212.363   -0.0892818
212.613   -0.0890794
212.862   -0.0889519
213.111   -0.0886626
213.36   -0.088555
213.61   -0.0883318
213.859   -0.088095
214.108   -0.0880106
214.357   -0.0876932
214.607   -0.087586
214.856   -0.0873979
215.105   -0.0871067
215.354   -0.0870749
215.604   -0.0867373
215.853   -0.0866066
216.102   -0.0864838
216.351   -0.0861166
216.601   -0.0861378
216.85   -0.0858048
217.099   -0.0856099
217.348   -0.0855903
217.598   -0.0851329
217.847   -0.0851863
218.096   -0.0849086
218.345   -0.0845913
218.595   -0.0847106
218.844   -0.0841733
219.093   -0.0842009
219.342   -0.0840608
219.592   -0.0835559
219.841   -0.083824
220.09   -0.0832671
220.339   -0.0831604
220.589   -0.0832626
220.838   -0.0825283
221.087   -0.0828906
221.336   -0.0824505
221.586   -0.0820549
221.835   -0.0824882
222.084   -0.0815627
222.333   -0.0818552
222.583   -0.0817487
222.832   -0.08091
223.081   -0.0816675
223.33   -0.0807405
223.58   -0.0806713
223.829   -0.0811396
224.078   -0.0798158
224.327   -0.080685
224.577   -0.0801392
224.826   -0.0793538
225.075   -0.0805103
225.324   -0.0789332
225.574   -0.0794218
225.823   -0.0797568
226.072   -0.0780458
226.321   -0.079641
226.571   -0.0784375
226.82   -0.0778638
227.069   -0.0794119
227.318   -0.0770452
227.568   -0.0782844
227.817   -0.0783639
228.066   -0.0762451
228.315   -0.0787052
228.565   -0.0766918
228.814   -0.0763848
